Ticker, Title, Link, Holding, Weight
XIU,iShares S&P/TSX 60 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIU,Royal Bank of Canada,0.081
XIU,iShares S&P/TSX 60 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIU,The Toronto-Dominion Bank,0.0672
XIU,iShares S&P/TSX 60 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIU,Enbridge Inc,0.0495
XIU,iShares S&P/TSX 60 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIU,Bank of Nova Scotia,0.0407
XIU,iShares S&P/TSX 60 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIU,Canadian National Railway Co,0.0392
XIU,iShares S&P/TSX 60 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIU,Canadian Pacific Railway Ltd,0.039
XIU,iShares S&P/TSX 60 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIU,Brookfield Asset Management Inc,0.039
XIU,iShares S&P/TSX 60 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIU,Bank of Montreal,0.038
XIU,iShares S&P/TSX 60 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIU,Canadian Natural Resources Ltd,0.0335
XIU,iShares S&P/TSX 60 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIU,TC Energy Corp,0.0294
XIU,iShares S&P/TSX 60 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIU,Suncor Energy Inc,0.0275
XIU,iShares S&P/TSX 60 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIU,BCE Inc,0.0261
XIU,iShares S&P/TSX 60 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIU,Canadian Imperial Bank of Commerce,0.0257
XIU,iShares S&P/TSX 60 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIU,Nutrien Ltd,0.0247
XIU,iShares S&P/TSX 60 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIU,Shopify Inc,0.0235
XIU,iShares S&P/TSX 60 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIU,Manulife Financial Corp,0.0196
XIU,iShares S&P/TSX 60 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIU,Alimentation Couche-Tard Inc,0.0195
XIU,iShares S&P/TSX 60 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIU,Waste Connections Inc,0.0189
XIU,iShares S&P/TSX 60 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIU,Barrick Gold Corp,0.0179
XIU,iShares S&P/TSX 60 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIU,TELUS Corp,0.0178
XIU,iShares S&P/TSX 60 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIU,Constellation Software Inc,0.0174
XIU,iShares S&P/TSX 60 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIU,Sun Life Financial Inc,0.0155
XIU,iShares S&P/TSX 60 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIU,Franco-Nevada Corp,0.0148
XIU,iShares S&P/TSX 60 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIU,Intact Financial Corp,0.0148
XIU,iShares S&P/TSX 60 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIU,National Bank of Canada,0.0131
ZSP,BMO S&P 500 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/ZSP,Apple Inc,0.0661
ZSP,BMO S&P 500 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/ZSP,Microsoft Corp,0.0584
ZSP,BMO S&P 500 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/ZSP,Amazon.com Inc,0.03
ZSP,BMO S&P 500 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/ZSP,Alphabet Inc,0.0196
ZSP,BMO S&P 500 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/ZSP,Tesla Inc,0.0182
ZSP,BMO S&P 500 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/ZSP,Alphabet Inc,0.0182
ZSP,BMO S&P 500 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/ZSP,Berkshire Hathaway Inc,0.0166
ZSP,BMO S&P 500 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/ZSP,Johnson & Johnson,0.0135
ZSP,BMO S&P 500 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/ZSP,UnitedHealth Group Inc,0.0134
ZSP,BMO S&P 500 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/ZSP,NVIDIA Corp,0.0134
ZSP,BMO S&P 500 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/ZSP,Meta Platforms Inc,0.0128
ZSP,BMO S&P 500 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/ZSP,Exxon Mobil Corp,0.0116
ZSP,BMO S&P 500 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/ZSP,JPMorgan Chase & Co,0.0111
ZSP,BMO S&P 500 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/ZSP,Visa Inc,0.0101
ZSP,BMO S&P 500 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/ZSP,Procter & Gamble Co,0.0101
ZSP,BMO S&P 500 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/ZSP,Chevron Corp,0.0097
ZSP,BMO S&P 500 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/ZSP,The Home Depot Inc,0.009
ZSP,BMO S&P 500 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/ZSP,Mastercard Inc,0.0089
ZSP,BMO S&P 500 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/ZSP,Pfizer Inc,0.0085
ZSP,BMO S&P 500 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/ZSP,Bank of America Corp,0.0075
ZSP,BMO S&P 500 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/ZSP,AbbVie Inc,0.0075
ZSP,BMO S&P 500 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/ZSP,Eli Lilly and Co,0.0072
ZSP,BMO S&P 500 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/ZSP,Coca-Cola Co,0.007
ZSP,BMO S&P 500 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/ZSP,Broadcom Inc,0.0068
ZSP,BMO S&P 500 Index ETF - CAD,https://etfmarket.neo.inc/en/fund/ZSP,Merck & Co Inc,0.0067
XIC,iShares Core S&P/TSX Capped Composite Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIC,Royal Bank of Canada,0.0651
XIC,iShares Core S&P/TSX Capped Composite Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIC,The Toronto-Dominion Bank,0.054
XIC,iShares Core S&P/TSX Capped Composite Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIC,Enbridge Inc,0.0398
XIC,iShares Core S&P/TSX Capped Composite Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIC,Bank of Nova Scotia,0.0327
XIC,iShares Core S&P/TSX Capped Composite Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIC,Canadian National Railway Co,0.0315
XIC,iShares Core S&P/TSX Capped Composite Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIC,Canadian Pacific Railway Ltd,0.0313
XIC,iShares Core S&P/TSX Capped Composite Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIC,Brookfield Asset Management Inc,0.0313
XIC,iShares Core S&P/TSX Capped Composite Index ETF - CAD,https://etfmarket.neo.inc/en/fund/XIC,Bank of Montreal,0.0306
